2203, SAPP, TRENT, male
2208, EPPS, RENE, female
2215, LEE, RETTA, female
2220, SALTER, PAT, female
2222, PENA, LEESA, female
2229, EPPS, LARA, female
2229, SAPP, ETTA, female
2233, TRENT, SAL, male
2242, STREET, LANE, male
2244, EPPS, ART, male
2245, PATEL, TEENA, female
2249, PATE, PERLA, female
2255, PLATT, RAE, female
2255, TATE, RENEA, female
2262, STERN, ALTA, female
2263, EPPS, LANE, male
2264, PATEL, ENA, female
2266, PLATT, SERENA, female
2271, LESTER, ENA, female
2272, TATE, LEESA, female
2275, TRENT, LESA, female
2285, EPPS, RAE, female
2288, SLATER, TENA, female
2290, SALTER, PAT, male
2294, PATE, TENA, female
2308, STERN, LEA, female
2312, PATE, RENATE, female
2315, EARL, PETE, male
2320, PATTEN, EARL, male
2325, LANE, ESTA, female
2337, EARL, PAT, female
2339, LE, TENA, female
2345, PATTEN, LEE, male
2346, PATE, LAN, female
2347, LEE, ARNETTA, female
2351, LEE, NETA, female
2357, LE, RENATE, female
2358, LE, RENATA, female
2358, SAPP, LEA, female
2361, PRATT, LEESA, female
2367, SAPP, RENE, female
2373, LANE, RETTA, female
2377, PATE, EASTER, female
2383, SPEER, ALAN, male
2385, ERNST, LEE, female
2387, EPPS, EARLE, male
2394, PATE, TRENA, female
2400, TRAN, LEESA, female
2403, SAPP, ART, male
2407, EARL, PAT, male
2408, PENA, ARLETTE, female
2409, ERNST, PETE, male
2413, PERALTA, PETE, male
2414, NEAL, ESTA, female
2414, TRENT, ASA, male
2422, LE, EASTER, female
2422, SAPP, LANE, male
2431, ERNST, PAT, female
2433, PLATT, ERNA, female
2439, LE, TRENA, female
2441, PENA, ESTA, female
2444, SAPP, RAE, female
2446, PATTEN, PEARL, female
2462, NEAL, RETTA, female
2463, EPPS, ERNA, female
2473, SPEER, ANA, female
2479, ERNST, AL, male
2481, PATEL, STAR, female
2485, STEELE, RANA, female
2486, EARL, ETTA, female
2488, SERNA, LEE, male
2489, PENA, RETTA, female
2498, PATEL, RENEA, female
2500, EARL, STAN, male
2501, ERNST, PAT, male
2504, SAPP, EARLENE, female
2520, PATE, ERA, female
2523, PATE, TRESA, female
2524, PETERS, NETA, female
2525, EPPS, LETA, female
2528, PETERS, LEANA, female
2531, STEEN, EARL, male
2537, PLATT, RENAE, female
2542, PENA, PEARLE, female
2546, SAPP, EARLE, male
2551, SPEER, LENA, female
2555, PEASE, EARL, male
2563, PATTEN, LEE, female
2565, LE, ERA, female
2567, EPPS, RENAE, female
2568, LE, TRESA, female
2578, SLATER, TEENA, female
2580, LEE, SEAN, female
2584, PATE, TEENA, female
2592, TATE, PEARLE, female
2597, SLATER, ENA, female
2603, PATE, ENA, female
2609, EPPS, ARLEEN, female
2617, STREET, LEN, male
2619, TRAN, ESTA, female
2621, ARNETT, LEE, male
2622, SAPP, ERNA, female
2629, LE, TEENA, female
2629, SPEER, NEAL, male
2631, TAN, PETER, male
2634, STERN, LETA, female
2636, STEEN, TARA, female
2638, EPPS, LEN, male
2642, TAN, TERESA, female
2648, LE, ENA, female
2653, SPEAR, LEE, male
2657, PATTEN, AL, male
2657, STEEN, PEARL, female
2663, EAST, PETER, male
2663, ERNST, ALTA, female
2667, PENA, ELSE, female
2668, EPPS, ARLEN, male
2675, EPPS, TERA, female
2677, STEPP, ALAN, male
2679, PATE, ELNA, female
2679, SPEER, PAT, female
2681, PEASE, PEARL, female
2684, SAPP, LETA, female
2684, STEPP, EARL, male
2686, TAN, EARL, male
2694, EPPS, ALENE, female
2699, PATTEN, ELSA, female
2706, SERNA, LEE, female
2709, ERNST, LEA, female
2709, STEPP, LEE, male
2710, ESTEP, ALAN, male
2711, TAN, LEE, male
2716, PEASE, LENA, female
2717, ESTEP, EARL, male
2717, TATE, ELSE, female
2718, EAST, EARL, male
2726, SAPP, RENAE, female
2727, SPEER, AL, male
2730, SERNA, PETE, male
2734, PATEL, ESTA, female
2738, PRATT, ELEASE, female
2739, EPPS, RETA, female
2743, EAST, LEE, male
2747, REA, SEAN, male
2748, EPPS, TANA, female
2749, PENA, LERA, female
2749, SPEER, PAT, male
2752, SERNA, PAT, female
2762, SPEER, LANA, female
2767, STEPP, ANA, female
2768, SAPP, ARLEEN, female
2771, SEAL, PETER, male
2776, REA, LEE, male
2777, TRAN, ELEASE, female
2782, TAN, LESTER, male
2789, SPEAR, LENA, female
2789, STEPP, TARA, female
2794, PEASE, NEAL, male
2797, SAPP, LEN, male
2799, TATE, LERA, female
2800, ESTEP, ANA, female
2800, SERNA, AL, male
2806, PRATT, ELSE, female
2811, RAPP, SEAN, male
2811, STEPP, ARLENE, female
2812, TAN, PEARL, female
2820, PATE, STAR, female
2820, STEEN, PAT, female
2822, ESTEP, TARA, female
2822, SERNA, PAT, male
2827, SAPP, ARLEN, male
2828, SPEER, ETTA, female
2834, SAPP, TERA, female
2837, PATE, RENEA, female
2839, ARNETT, LEE, female
2840, RAPP, LEE, male
2842, LEE, RANAE, female
2842, PETERS, LANE, female
2843, ESTEP, PEARL, female
2844, EAST, PEARL, female
2844, PEASE, PAT, female
2845, EAST, ARLENE, female
2845, STEPP, LENA, female
2845, TRAN, ELSE, female
2853, SAPP, ALENE, female
2854, PATE, LEESA, female
2865, LE, STAR, female
2867, SPEAR, NEAL, male
2868, STEEN, AL, male
2870, TEEL, SARA, female
2871, SPEAR, LEE, female
2878, ESTEP, LENA, female
2878, PETERS, LE, female
2879, EAST, LENA, female
2880, TEEL, SEAN, male
2881, STEPP, RENE, male
2882, LE, RENEA, female
2887, PATTEN, LEA, female
2890, STEEN, PAT, male
2892, PEASE, AL, male
2895, SPEAR, PETE, male
2898, EPPS, TENA, female
2898, SAPP, RETA, female
2901, SERNA, ETTA, female
2904, TATE, SEAN, female
2911, SPEER, ALTA, female
2912, REA, LENA, female
2914, PEASE, PAT, male
2915, EAST, RENE, male
2916, EPPS, RENATE, female
2917, EPPS, RENATA, female
2917, SPEAR, PAT, female
2918, PATEL, NETA, female
2923, STEPP, NEAL, male
2925, LESTER, NETA, female
2927, STEPP, LEE, female
2929, STREET, LAN, female
2929, TAN, LEE, female
2933, ARNETT, AL, male
2942, SPEAR, ELENA, female
2950, EPPS, LAN, female
2953, TAN, PETE, male
2956, ESTEP, NEAL, male
2957, EAST, NEAL, male
2957, SPEER, LEA, female
2961, EAST, LEE, female
2961, PEASE, RENA, female
2965, SPEAR, AL, male
2967, PEASE, TRENT, male
2967, TEEL, ANA, female
2971, EASTER, LENA, female
2973, PATTEN, RAE, female
2975, ARNETT, ELSA, female
2975, TAN, PAT, female
2976, RAPP, LENA, female
2979, PENA, LE, female
2985, EAST, PETE, male
2987, SPEAR, PAT, male
2989, TEEL, TARA, female
2990, REA, NEAL, male
2991, PARENT, LEE, male
2992, PRATT, SELENE, female
2993, PEASE, ETTA, female
2993, PRATT, SEAN, female
2993, TATE, LANE, female
2994, REA, LEE, female
2998, EPPS, TRENA, female
2998, STEPP, ELENA, female
3006, ESTEP, PAT, female
3007, EAST, PAT, female
3018, REA, PETE, male
3021, SPEER, LANE, male
3021, STEPP, AL, male
3023, SEAL, RENE, male
3023, TAN, AL, male
3029, TATE, LE, female
3030, SERNA, LEA, female
3032, EAST, ELENA, female
3035, ERNST, LETA, female
3040, REA, PAT, female
3040, REES, ALAN, male
3042, EPPS, ALETA, female
3045, TAN, PAT, male
3049, EASTER, NEAL, male
3052, STEEN, ALTA, female
3054, ESTEP, AL, male
3054, RAPP, NEAL, male
3054, STEEN, PETRA, female
3055, EAST, AL, male
3056, STEPP, LANA, female
3057, SAPP, TENA, female
3058, RAPP, LEE, female
3065, REA, ELENA, female
3065, TAN, ELSA, female
3066, SPEAR, ETTA, female
3073, PATE, ESTA, female
