RANK, LAST NAME, FIRST NAME, GENDER
848, LEE, KENYA, female
849, SPEARS, RAY, male
852, BAKER, SELENA, female
853, PENA, KELSEY, female
857, BRYAN, KARLA, female
857, SEARS, KAREN, female
858, AYERS, ANA, female
859, LARA, ANA, female
860, LARA, RENEE, female
861, LEE, KAYE, female
861, PAYNE, LARA, female
862, BARRY, ALAN, male
862, PARKER, SELENA, female
865, BARRY, SEAN, male
868, BASS, ELENA, female
868, BRYAN, KARA, female
868, RAY, LARA, female
868, RYAN, LEA, female
869, KANE, LEE, male
870, REYES, LANE, male
871, LEE, KASEY, female
873, PARK, ELENA, female
876, SPARKS, ELENA, female
878, KANE, RAY, male
878, LEE, ABE, male
878, PERRY, ALANA, female
879, BARR, ANA, female
880, BANKS, LEA, female
880, KEY, SARA, female
886, KANE, BARRY, male
887, KEY, ALAN, male
889, AYERS, BEN, male
890, BAKER, EARLE, male
890, KEY, SEAN, male
890, LARA, BEN, male
891, BASS, AL, male
892, REYES, RAE, female
893, SEARS, RYAN, male
894, BARRY, LEE, male
894, KEY, EARL, male
896, PARK, AL, male
897, BERRY, LANE, male
898, RYAN, LARA, female
898, SPEARS, ANA, female
899, PERRY, SELENA, female
899, SALAS, BRYAN, male
899, SPARKS, AL, male
901, AYERS, PEARL, female
901, PARKER, ABE, male
902, AYERS, ARLENE, female
902, KERR, ANA, female
902, LEE, PARKER, male
902, RAY, LANE, male
903, BRAY, SARA, female
905, AYERS, KARL, male
907, BLAKE, RENA, female
908, BASS, KERRY, female
909, PARK, ALYSSA, female
910, BANKS, LARA, female
910, BRAY, ALAN, male
913, BRAY, SEAN, male
916, BARNES, KAYE, female
917, BRAY, EARL, male
917, PAYNE, RAE, female
919, KEY, LEE, male
922, BRYAN, AL, male
924, RAY, RAE, female
926, BARNES, KASEY, female
926, BASS, LANA, female
929, SALAS, RAY, male
929, SPEARS, BEN, male
930, SYKES, ALAN, male
931, PARK, LANA, female
932, BAKER, LES, male
932, BARNES, EARLE, male
933, KERR, BEN, male
933, LANE, RAE, female
934, SPARKS, LANA, female
935, RAY, SERENA, female
935, REYES, ALANA, female
935, SEARS, ALAN, male
936, AYERS, LENA, female
937, BEAN, PEARL, female
937, SALAS, BARRY, male
937, SYKES, EARL, male
938, PARK, ELSA, female
938, PERRY, ABE, male
941, BEAN, KARL, male
942, AYERS, KEN, male
942, BRAY, LEE, male
942, PARKER, LES, male
942, SEARS, EARL, male
942, SPEARS, ARLENE, female
943, LARA, KEN, male
945, LEE, KARYN, female
945, SPEARS, KARL, male
946, PARK, ABEL, male
946, SEARS, BRYAN, male
949, SPARKS, ABEL, male
950, LARA, KAY, female
951, LARSEN, KARA, female
952, BARRY, ANA, female
953, BEASLEY, KARA, female
953, LEE, BERRY, male
953, LEE, ERNA, female
954, RYAN, RAE, female
957, BARR, LENA, female
960, BASS, RENA, female
962, BERRY, ALANA, female
962, SYKES, LEE, male
963, BARR, KEN, male
963, PENA, LEA, female
